Mutant_Experiment_Sample_gene	Forebrain	Optic Tectum	Thalamus	Hypothalamus	Cerebellum	Hindbrain	Habenula	Posterior Tuberculum	Mutant_Experiment_Sample	Mutant_Experiment_Sample_gene_idx
CNTNAP2	0.88765448	0.6821357	0.98573655	0.59807551	1.05006421	1.54716920852661	0.55191249	1.39298034	CNTNAP2_exp1_hom_3	exp1_hom_3
CNTNAP2	0.57408994	0.534109	0.57719237	0.29049638	0.86000478	0.94358187913894598	0.47362676	0.94936174	CNTNAP2_exp1_hom_4	exp1_hom_4
CNTNAP2	0.69643503	0.70715833	0.57948673	0.2962327	1.00705099	1.0521705150604199	0.37222391	0.86454296	CNTNAP2_exp1_hom_5	exp1_hom_5
CNTNAP2	0.69930744	0.53258884	0.76160204	0.20151344	0.71817535	0.69904029369354204	0.46286321	0.88340622	CNTNAP2_exp1_hom_6	exp1_hom_6
CNTNAP2	0.3875182	0.31234649	0.36057699	0.10416768	0.36957139	0.29132574796676602	0.27446896	0.33855453	CNTNAP2_exp1_wt_1	exp1_wt_1
CNTNAP2	0.60459626	0.44509786	0.50173718	0.14182052	0.67347533	0.56128704547882002	0.43204865	0.60723752	CNTNAP2_exp1_wt_2	exp1_wt_2
CNTNAP2	0.45201513	0.34394744	0.50576925	0.12358755	0.54842132	0.45518544316291798	0.36988369	0.60618716	CNTNAP2_exp1_wt_3	exp1_wt_3
CNTNAP2	0.50205773	0.58762044	0.70676607	0.08248283	0.7955364	0.15714707970619199	0.49058419	0.63635421	CNTNAP2_exp1_wt_4	exp1_wt_4
CNTNAP2	0.5250926	0.41516417	0.56595892	0.10737709	0.74496335	0.64186447858810403	0.41619214	0.6728825	CNTNAP2_exp1_wt_5	exp1_wt_5
CNTNAP2	0.59603381	0.61445469	0.83122629	0.21701461	0.80768281	0.66300922632217396	0.49654695	0.83489347	CNTNAP2_exp1_wt_6	exp1_wt_6
CNTNAP2	0.67808217	0.61044765	0.92648023	0.34096253	1.05700767	1.0310645103454501	0.46658495	1.28539646	CNTNAP2_exp1_wt_7	exp1_wt_7
CNTNAP2	0.77668399	0.66855347	0.95291382	0.38481852	0.85004455	1.07079541683197	0.58541882	1.20820034	CNTNAP2_exp2_het_1	exp2_het_1
CNTNAP2	0.67061967	0.73383147	1.00428104	0.29386792	0.72421521	0.851029872894287	0.63673973	1.03678691	CNTNAP2_exp2_het_2	exp2_het_2
CNTNAP2	0.71341789	0.63768542	0.93263817	0.25721604	0.71090043	0.810230672359466	0.46937177	0.92408562	CNTNAP2_exp2_het_3	exp2_het_3
CNTNAP2	0.60718763	0.6500752	1.01559567	0.32211205	0.59540379	0.86851674318313599	0.53983098	1.15328312	CNTNAP2_exp2_het_4	exp2_het_4
CNTNAP2	0.73006523	0.60649347	0.97883844	0.41240561	0.82822937	1.0448271036148	0.55792236	1.22169173	CNTNAP2_exp2_het_5	exp2_het_5
CNTNAP2	0.71818256	0.73259085	1.12201476	0.38231564	0.87292451	1.0256403684616	0.53626323	1.42578256	CNTNAP2_exp2_het_6	exp2_het_6
CNTNAP2	0.9070496	0.74723482	1.17491841	0.43150437	0.91690809	1.0887992382049501	0.60750437	1.41601217	CNTNAP2_exp2_het_7	exp2_het_7
CNTNAP2	0.73000509	0.65054238	0.82592624	0.23456946	0.93028361	1.1169904470443699	0.53998005	0.82179809	CNTNAP2_exp2_het_8	exp2_het_8
