perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Igfbp5	3.07E-12	1.66E-09	3.060695635	6.122426611	48.6457849	Excit_L6CT_CTX	Foxg1_1	1	Igfbp5	passed_through
Foxg1	Scg2	2.61E-08	6.12E-06	2.081043274	5.787007791	30.98128038	Excit_L6CT_CTX	Foxg1_1	1	Scg2	passed_through
Foxg1	Sphkap	7.65E-13	5.02E-10	1.637878795	6.762663486	51.36896034	Excit_L6CT_CTX	Foxg1_1	1	Sphkap	passed_through
Foxg1	Nppc	0.00011608	0.007945107	0.738740677	6.910863823	14.85532193	Excit_L6CT_CTX	Foxg1_1	1	Nppc	passed_through
Foxg1	Cntnap5a	0.00010284	0.007156871	1.178413353	6.722432125	15.08383526	Excit_L6CT_CTX	Foxg1_1	1	Cntnap5a	passed_through
Foxg1	Mcm6	0.00100912	0.038678807	-1.452007873	5.353277954	10.81075691	Excit_L6CT_CTX	Foxg1_1	1	Mcm6	passed_through
Foxg1	Thsd7b	5.12E-08	1.16E-05	-1.277189241	6.66611415	29.66920659	Excit_L6CT_CTX	Foxg1_1	1	Thsd7b	passed_through
Foxg1	Klhdc8a	4.65E-05	0.003880259	1.846021536	5.428056118	16.58575427	Excit_L6CT_CTX	Foxg1_1	1	Klhdc8a	passed_through
Foxg1	Lhx9	0.000172284	0.01064537	4.071065783	3.839025735	14.11154054	Excit_L6CT_CTX	Foxg1_1	1	Lhx9	passed_through
Foxg1	Kcnt2	0.001108276	0.041835752	0.609071682	6.964296031	10.63732887	Excit_L6CT_CTX	Foxg1_1	1	Kcnt2	passed_through
Foxg1	B3galt2	0.000160479	0.01004568	-0.430045858	7.458351757	14.24508609	Excit_L6CT_CTX	Foxg1_1	1	B3galt2	passed_through
Foxg1	Brinp3	5.10E-07	8.83E-05	1.140389611	6.761526273	25.22503576	Excit_L6CT_CTX	Foxg1_1	1	Brinp3	passed_through
Foxg1	Tnr	2.47E-05	0.002361058	-0.816544508	6.766075369	17.78902842	Excit_L6CT_CTX	Foxg1_1	1	Tnr	passed_through
Foxg1	Tagln2	0.001004327	0.038613908	-8.317964599	3.280670256	10.81957138	Excit_L6CT_CTX	Foxg1_1	1	Tagln2	passed_through
Foxg1	Vsig8	0.000501976	0.023507969	-7.953805735	3.125402113	12.108309	Excit_L6CT_CTX	Foxg1_1	1	Vsig8	passed_through
Foxg1	Cnih3	0.000492238	0.023222814	-1.145488895	5.97652664	12.144843	Excit_L6CT_CTX	Foxg1_1	1	Cnih3	passed_through
